2026-05-19T16:32:56+0000 | INFO | textclf.api | HTTP request completed. method=POST path=/predict status_code=200 duration_ms=13.46 request_id=fd5cc6fb-5c43-412d-b465-d9c4fa756609 request_id_source=api
2026-05-19T16:35:36+0000 | INFO | textclf.api | HTTP request completed. method=GET path=/health status_code=200 duration_ms=1.29 request_id=edeb77a6-e07e-4e70-901f-05b0423f9143 request_id_source=api
2026-05-19T16:35:36+0000 | INFO | textclf.api | Authentication succeeded token_id=ui-service-20260424164940 client_id=ui-service request_id=dfc8d641-9f02-43ff-8ffa-43b562136e9b
2026-05-19T16:35:36+0000 | INFO | textclf.api | HTTP request completed. method=GET path=/models status_code=200 duration_ms=448.18 request_id=dfc8d641-9f02-43ff-8ffa-43b562136e9b request_id_source=api
2026-05-19T16:35:36+0000 | INFO | textclf.api | Authentication succeeded token_id=ui-service-20260424164940 client_id=ui-service request_id=ecc821bf-ddfc-43cd-8921-fa680cee6885
2026-05-19T16:35:36+0000 | INFO | textclf.api | HTTP request completed. method=GET path=/version status_code=200 duration_ms=17.30 request_id=ecc821bf-ddfc-43cd-8921-fa680cee6885 request_id_source=api
2026-05-19T16:35:36+0000 | INFO | textclf.api | Authentication succeeded token_id=ui-service-20260424164940 client_id=ui-service request_id=a956fc30-f3d9-4c96-89ad-0708369aa149
2026-05-19T16:35:36+0000 | INFO | textclf.api | HTTP request completed. method=GET path=/version status_code=200 duration_ms=71.49 request_id=a956fc30-f3d9-4c96-89ad-0708369aa149 request_id_source=api
2026-05-19T16:36:27+0000 | INFO | textclf.api | HTTP request completed. method=GET path=/health status_code=200 duration_ms=1.21 request_id=5c049581-bc8c-49cc-aefd-1e7f52a61bd8 request_id_source=api
2026-05-19T16:36:27+0000 | INFO | textclf.api | Authentication succeeded token_id=ui-service-20260424164940 client_id=ui-service request_id=fe3a54ab-cd36-41d2-bd2a-eb4d55a285cf
2026-05-19T16:36:27+0000 | INFO | textclf.api | HTTP request completed. method=GET path=/models status_code=200 duration_ms=423.55 request_id=fe3a54ab-cd36-41d2-bd2a-eb4d55a285cf request_id_source=api
2026-05-19T16:36:27+0000 | INFO | textclf.api | Authentication succeeded token_id=ui-service-20260424164940 client_id=ui-service request_id=cd301f6a-78ca-4bfc-8836-259b0730a7ea
2026-05-19T16:36:27+0000 | INFO | textclf.api | HTTP request completed. method=GET path=/version status_code=200 duration_ms=14.68 request_id=cd301f6a-78ca-4bfc-8836-259b0730a7ea request_id_source=api
